time,Illumination(lux),year,month,day,hour
20190106:1410,83508.0,2019,01,06,14
20190106:1510,64209.600000000006,2019,01,06,15
20190106:1610,0.0,2019,01,06,16
20190106:1710,0.0,2019,01,06,17
20190106:1810,0.0,2019,01,06,18
20190106:1910,0.0,2019,01,06,19
20190106:2010,0.0,2019,01,06,20
20190106:2110,0.0,2019,01,06,21
20190106:2210,0.0,2019,01,06,22
20190106:2310,0.0,2019,01,06,23
20190107:0010,0.0,2019,01,07,00
20190107:0110,0.0,2019,01,07,01
20190107:0210,0.0,2019,01,07,02
20190107:0310,0.0,2019,01,07,03
20190107:0410,0.0,2019,01,07,04
20190107:0510,0.0,2019,01,07,05
20190107:0610,0.0,2019,01,07,06
20190107:0710,0.0,2019,01,07,07
20190107:0810,59779.200000000004,2019,01,07,08
20190107:0910,88855.20000000001,2019,01,07,09
20190107:1010,99364.79999999999,2019,01,07,10
20190107:1110,101437.2,2019,01,07,11
20190107:1210,103026.0,2019,01,07,12
20190107:1310,97537.2,2019,01,07,13
20190107:1410,88818.0,2019,01,07,14
20190107:1510,66486.0,2019,01,07,15
20190107:1610,0.0,2019,01,07,16
20190107:1710,0.0,2019,01,07,17
20190107:1810,0.0,2019,01,07,18
20190107:1910,0.0,2019,01,07,19
20190107:2010,0.0,2019,01,07,20
20190107:2110,0.0,2019,01,07,21
20190107:2210,0.0,2019,01,07,22
20190107:2310,0.0,2019,01,07,23
20190108:0010,0.0,2019,01,08,00
20190108:0110,0.0,2019,01,08,01
20190108:0210,0.0,2019,01,08,02
20190108:0310,0.0,2019,01,08,03
20190108:0410,0.0,2019,01,08,04
20190108:0510,0.0,2019,01,08,05
20190108:0610,0.0,2019,01,08,06
20190108:0710,0.0,2019,01,08,07
20190108:0810,19285.2,2019,01,08,08
20190108:0910,44005.2,2019,01,08,09
20190108:1010,82497.6,2019,01,08,10
20190108:1110,77491.2,2019,01,08,11
20190108:1210,108994.79999999999,2019,01,08,12
20190108:1310,103549.2,2019,01,08,13
20190108:1410,37408.8,2019,01,08,14
20190108:1510,65007.600000000006,2019,01,08,15
20190108:1610,0.0,2019,01,08,16
20190108:1710,0.0,2019,01,08,17
20190108:1810,0.0,2019,01,08,18
20190108:1910,0.0,2019,01,08,19
20190108:2010,0.0,2019,01,08,20
20190108:2110,0.0,2019,01,08,21
20190108:2210,0.0,2019,01,08,22
20190108:2310,0.0,2019,01,08,23
20190109:0010,0.0,2019,01,09,00
20190109:0110,0.0,2019,01,09,01
20190109:0210,0.0,2019,01,09,02
20190109:0310,0.0,2019,01,09,03
20190109:0410,0.0,2019,01,09,04
20190109:0510,0.0,2019,01,09,05
20190109:0610,0.0,2019,01,09,06
20190109:0710,0.0,2019,01,09,07
20190109:0810,67400.4,2019,01,09,08
20190109:0910,99397.2,2019,01,09,09
20190109:1010,104596.8,2019,01,09,10
20190109:1110,37476.0,2019,01,09,11
20190109:1210,106198.8,2019,01,09,12
20190109:1310,101054.4,2019,01,09,13
20190109:1410,93007.2,2019,01,09,14
20190109:1510,64437.600000000006,2019,01,09,15
20190109:1610,0.0,2019,01,09,16
20190109:1710,0.0,2019,01,09,17
20190109:1810,0.0,2019,01,09,18
20190109:1910,0.0,2019,01,09,19
20190109:2010,0.0,2019,01,09,20
20190109:2110,0.0,2019,01,09,21
20190109:2210,0.0,2019,01,09,22
20190109:2310,0.0,2019,01,09,23
20190110:0010,0.0,2019,01,10,00
20190110:0110,0.0,2019,01,10,01
20190110:0210,0.0,2019,01,10,02
20190110:0310,0.0,2019,01,10,03
20190110:0410,0.0,2019,01,10,04
20190110:0510,0.0,2019,01,10,05
20190110:0610,0.0,2019,01,10,06
20190110:0710,0.0,2019,01,10,07
20190110:0810,79034.4,2019,01,10,08
20190110:0910,95384.4,2019,01,10,09
20190110:1010,105772.8,2019,01,10,10
20190110:1110,108170.4,2019,01,10,11
20190110:1210,107715.6,2019,01,10,12
20190110:1310,100650.0,2019,01,10,13
20190110:1410,92930.4,2019,01,10,14
20190110:1510,76797.6,2019,01,10,15
20190110:1610,0.0,2019,01,10,16
20190110:1710,0.0,2019,01,10,17
20190110:1810,0.0,2019,01,10,18
20190110:1910,0.0,2019,01,10,19
20190110:2010,0.0,2019,01,10,20
20190110:2110,0.0,2019,01,10,21
20190110:2210,0.0,2019,01,10,22
20190110:2310,0.0,2019,01,10,23
20190111:0010,0.0,2019,01,11,00
20190111:0110,0.0,2019,01,11,01
20190111:0210,0.0,2019,01,11,02
20190111:0310,0.0,2019,01,11,03
20190111:0410,0.0,2019,01,11,04
20190111:0510,0.0,2019,01,11,05
20190111:0610,0.0,2019,01,11,06
20190111:0710,0.0,2019,01,11,07
20190111:0810,73089.6,2019,01,11,08
20190111:0910,95706.0,2019,01,11,09
20190111:1010,107916.0,2019,01,11,10
20190111:1110,104233.2,2019,01,11,11
20190111:1210,96034.79999999999,2019,01,11,12
20190111:1310,93337.2,2019,01,11,13
20190111:1410,40752.0,2019,01,11,14
20190111:1510,39643.200000000004,2019,01,11,15
20190111:1610,0.0,2019,01,11,16
20190111:1710,0.0,2019,01,11,17
20190111:1810,0.0,2019,01,11,18
20190111:1910,0.0,2019,01,11,19
20190111:2010,0.0,2019,01,11,20
20190111:2110,0.0,2019,01,11,21
20190111:2210,0.0,2019,01,11,22
20190111:2310,0.0,2019,01,11,23
20190112:0010,0.0,2019,01,12,00
20190112:0110,0.0,2019,01,12,01
20190112:0210,0.0,2019,01,12,02
20190112:0310,0.0,2019,01,12,03
20190112:0410,0.0,2019,01,12,04
20190112:0510,0.0,2019,01,12,05
20190112:0610,0.0,2019,01,12,06
20190112:0710,0.0,2019,01,12,07
20190112:0810,61222.8,2019,01,12,08
20190112:0910,86088.0,2019,01,12,09
20190112:1010,114698.40000000001,2019,01,12,10
20190112:1110,102126.0,2019,01,12,11
20190112:1210,101798.40000000001,2019,01,12,12
20190112:1310,100464.0,2019,01,12,13
20190112:1410,88662.0,2019,01,12,14
20190112:1510,70081.2,2019,01,12,15
20190112:1610,0.0,2019,01,12,16
20190112:1710,0.0,2019,01,12,17
20190112:1810,0.0,2019,01,12,18
20190112:1910,0.0,2019,01,12,19
20190112:2010,0.0,2019,01,12,20
20190112:2110,0.0,2019,01,12,21
20190112:2210,0.0,2019,01,12,22
20190112:2310,0.0,2019,01,12,23
20190113:0010,0.0,2019,01,13,00
20190113:0110,0.0,2019,01,13,01
20190113:0210,0.0,2019,01,13,02
20190113:0310,0.0,2019,01,13,03
20190113:0410,0.0,2019,01,13,04
20190113:0510,0.0,2019,01,13,05
20190113:0610,0.0,2019,01,13,06
20190113:0710,0.0,2019,01,13,07
20190113:0810,28833.6,2019,01,13,08
20190113:0910,86391.59999999999,2019,01,13,09
20190113:1010,98364.0,2019,01,13,10
20190113:1110,98514.0,2019,01,13,11
20190113:1210,98406.0,2019,01,13,12
20190113:1310,95250.0,2019,01,13,13
20190113:1410,58000.799999999996,2019,01,13,14
